台中(obs),台中(obs),嘉義(obs),嘉義(obs),永康(obs),永康(obs),台南(obs),台南(obs),高雄(obs),高雄(obs)
24.458333333333332,24.458333333333332,24.066666666666663,24.066666666666663,24.10833333333333,24.10833333333333,24.83333333333334,24.83333333333334,27.675000000000008,27.675000000000008
26.625,26.625,26.295833333333334,26.295833333333334,25.92916666666666,25.92916666666666,26.308333333333326,26.308333333333326,29.587499999999995,29.587499999999995
28.741666666666678,28.741666666666678,28.625,28.625,27.758333333333336,27.758333333333336,27.9875,27.9875,31.483333333333334,31.483333333333334
30.233333333333334,30.233333333333334,30.308333333333334,30.308333333333334,29.595833333333335,29.595833333333335,29.64166666666667,29.64166666666667,32.395833333333336,32.395833333333336
31.400000000000006,31.400000000000006,31.850000000000005,31.850000000000005,30.962500000000002,30.962500000000002,30.974999999999998,30.974999999999998,32.87916666666666,32.87916666666666
31.720833333333335,31.720833333333335,32.55416666666667,32.55416666666667,31.620833333333326,31.620833333333326,31.483333333333338,31.483333333333338,33.13333333333334,33.13333333333334
31.620833333333326,31.620833333333326,32.7125,32.7125,31.83333333333333,31.83333333333333,31.75,31.75,33.28750000000001,33.28750000000001
30.700000000000003,30.700000000000003,32.166666666666664,32.166666666666664,31.187500000000004,31.187500000000004,31.275000000000002,31.275000000000002,32.78333333333334,32.78333333333334
29.337500000000006,29.337500000000006,30.620833333333337,30.620833333333337,29.949999999999992,29.949999999999992,30.437500000000004,30.437500000000004,32.141666666666666,32.141666666666666
27.941666666666663,27.941666666666663,28.600000000000005,28.600000000000005,28.508333333333336,28.508333333333336,29.062499999999996,29.062499999999996,31.312500000000004,31.312500000000004
26.808333333333326,26.808333333333326,26.8125,26.8125,27.174999999999997,27.174999999999997,27.837500000000002,27.837500000000002,30.720833333333335,30.720833333333335
25.94583333333334,25.94583333333334,25.787499999999998,25.787499999999998,26.27916666666667,26.27916666666667,27.024999999999995,27.024999999999995,30.22916666666667,30.22916666666667
25.416666666666668,25.416666666666668,25.20416666666667,25.20416666666667,25.579166666666666,25.579166666666666,26.345833333333335,26.345833333333335,29.808333333333326,29.808333333333326
24.95416666666667,24.95416666666667,24.545833333333334,24.545833333333334,25.083333333333343,25.083333333333343,25.925,25.925,29.250000000000004,29.250000000000004
24.504166666666663,24.504166666666663,24.183333333333334,24.183333333333334,24.708333333333332,24.708333333333332,25.53333333333333,25.53333333333333,28.67916666666666,28.67916666666666
24.200000000000003,24.200000000000003,23.787500000000005,23.787500000000005,24.36666666666667,24.36666666666667,25.150000000000006,25.150000000000006,28.27916666666667,28.27916666666667
23.941666666666666,23.941666666666666,23.45833333333334,23.45833333333334,24.079166666666666,24.079166666666666,24.8875,24.8875,27.787499999999998,27.787499999999998
23.72083333333333,23.72083333333333,23.175,23.175,23.799999999999997,23.799999999999997,24.64583333333334,24.64583333333334,27.491666666666664,27.491666666666664
23.533333333333335,23.533333333333335,22.895833333333332,22.895833333333332,23.558333333333334,23.558333333333334,24.395833333333332,24.395833333333332,27.233333333333334,27.233333333333334
23.329166666666662,23.329166666666662,22.587500000000002,22.587500000000002,23.42083333333333,23.42083333333333,24.2625,24.2625,27.033333333333335,27.033333333333335
23.141666666666666,23.141666666666666,22.554166666666664,22.554166666666664,23.162499999999998,23.162499999999998,24.058333333333334,24.058333333333334,26.745833333333337,26.745833333333337
23.075,23.075,22.425,22.425,23.050000000000008,23.050000000000008,23.90833333333333,23.90833333333333,26.67083333333333,26.67083333333333
22.95,22.95,22.316666666666666,22.316666666666666,23.045833333333334,23.045833333333334,23.925,23.925,26.591666666666672,26.591666666666672
22.962500000000002,22.962500000000002,22.262500000000003,22.262500000000003,23.079166666666666,23.079166666666666,23.912499999999998,23.912499999999998,26.71666666666667,26.71666666666667
