hr,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
01,940.0,1007.9,24.3,22.8,91,0.1,0,1.7,240,0.0,0.0,...,0.00,...,...
02,939.2,1007.1,24.0,22.4,91,0.7,330,3.2,280,0.0,0.0,...,0.00,...,...
03,939.0,1007.0,23.6,21.9,90,1.2,320,5.5,270,0.0,0.0,...,0.00,...,...
04,938.9,1006.9,23.6,21.5,88,0.6,240,8.0,290,0.0,0.0,...,0.00,...,...
05,939.0,1007.0,23.6,20.7,84,1.1,330,4.7,290,0.0,0.0,...,0.00,30.0,2.0
06,939.9,1007.9,23.7,21.0,85,2.5,300,8.5,250,0.0,0.0,0.0,0.00,...,...
07,940.5,1008.4,24.3,21.3,83,2.2,310,9.0,340,0.0,0.0,0.1,0.42,...,...
08,940.2,1008.1,24.4,21.5,84,1.8,300,9.3,270,0.0,0.0,0.0,0.45,30.0,8.0
09,939.7,1007.4,24.9,21.9,83,1.5,310,8.9,260,0.0,0.0,0.0,0.59,30.0,8.0
10,940.0,1007.6,25.7,22.4,82,1.5,320,10.6,290,0.0,0.0,0.0,0.75,...,...
11,939.4,1006.6,27.2,22.5,76,1.1,310,10.2,280,0.0,0.0,0.6,1.88,25.0,5.0
12,939.1,1005.9,28.6,22.9,71,2.2,290,9.5,290,0.0,0.0,0.3,1.81,...,...
13,938.7,1005.1,30.3,22.6,64,2.8,300,9.7,280,0.0,0.0,1.0,3.73,...,...
14,937.8,1004.0,31.1,21.4,56,2.0,300,10.7,270,0.0,0.0,1.0,3.58,25.0,3.0
15,937.2,1003.3,31.4,21.0,54,1.9,310,11.7,280,0.0,0.0,1.0,3.07,...,...
16,936.5,1002.5,31.5,20.7,53,1.4,300,8.2,290,0.0,0.0,1.0,2.31,...,...
17,936.3,1002.5,30.5,20.0,54,1.2,300,8.4,290,0.0,0.0,1.0,1.33,25.0,6.0
18,936.7,1003.3,28.8,20.9,62,1.2,320,6.6,300,0.0,0.0,0.7,0.63,...,...
19,937.3,1004.5,26.7,22.0,75,0.6,330,6.3,300,0.0,0.0,0.0,0.00,...,...
20,937.9,1005.3,25.8,22.6,83,0.6,240,4.7,310,0.0,0.0,...,0.00,25.0,2.0
21,938.8,1006.4,25.3,22.5,85,1.2,300,6.8,250,0.0,0.0,...,0.00,25.0,2.0
22,939.4,1007.1,24.8,22.2,85,0.7,310,8.2,260,0.0,0.0,...,0.00,...,...
23,939.2,1007.0,24.7,21.0,80,0.7,280,7.2,300,0.0,0.0,...,0.00,...,...
24,938.1,1006.0,23.9,20.7,82,0.3,100,4.0,30,0.0,0.0,...,0.00,...,...
